category,sub-category,crimeaditionalinfo
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I had continue received random calls and abusive messages in my whatsapp Someone added my number in a unknown facebook group name with  Only Girls  and still getting calls from unknown numbers pls help me and sort out the issue  as soon as possible Thank you
Online Financial Fraud,Fraud CallVishing,"The above fraudster is continuously messaging me and Asking me to pay him money or he will send fake  cropped nude photos of me to my other contacts through WhatsApp

I am unaware how he has recieved my contacts list from my phone

Please help"
Online Gambling  Betting,Online Gambling  Betting,"He is acting like a police and demanding for money by adding sections in the text messages 
I request you to take an immediate action on him Frequently he is harassing with these messages For reference please find attached files"
Online and Social Media Related Crime,Online Job Fraud,In apna Job I have applied for job interview for telecalling and the resource management wrote that twelve hundred will be charged for security amount of laptop and work from home when I have given interview on the given address next day they charged twelve hundred and six hundred more money in the name of insurance after that they have referred me to the job calling there is no work of laptop neither a work from home kindly please take action against it as soon as possible and if possible please help me to recover my financial loss
Online Financial Fraud,Fraud CallVishing,I received a call from lady stating that she will send new phone of vivo and I received that parcel through post on  th February to Kurnool head post office  where I have not received any mobile
Online Financial Fraud,UPI Related Frauds,"FRAUD 	 UPI PAYTM 
BANK 	Punjab National Bank including Oriental Bank of Commerce and United Bank of India	
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,Fraud CallVishing,"Sir I am Prabhat Singh jat  An app on playstore which name is rupeestarsago  I
have been never applied for a loan from this app  They copied my contact
list and asking for loan repayment they are calling my contacts and
relatives and abusing himher  They are mentally harrasing me Please
take strict action on this  They are defaming me infront of my contact and
relatives They are forced me to do suicide I am not able swith on my
mobile phone they are calling continuously and abusing me  If this is not
closed i commit suiside"
Online Financial Fraud,Internet Banking Related Fraud,FINANCIAL FRAUD  RS 
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,I got the message on Whatsapp to my number The message contains very abusive words This message also includes my friend name and his number in that The same message was forwarded to all other friends also For more details please look into the file attached here Please take action ASAP
Any Other Cyber Crime,Other,Details entered in pdf file Person posing as Army officer msg us that he want our place on rent and for that to confirm the account he wants us to transfer Re  in his account and once confirmed he will transfer back
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I received a Whatsapp number in Happn Dating app Then I texted in Whatsapp after that they did a video call asked me to show the face I did then asked me to remove my clothes I did After that they recorded those videos and asking for me to send money I sent  again they are asking me  Kindly help me in this situation Also if needed i can come in person to meet and give more details Please Help
Any Other Cyber Crime,Other,Someone changed my email id nd contact number by using anydesk app nd now he had ordered  k product from my account through emi my contact number is nd he changed to this number nd email id also hve been changed now he have access to my account
Online and Social Media Related Crime,Profile Hacking Identity Theft,I have a friend with whom I made deal to exchange my gaming account of BGMI and he found an account as well for exchange So I shared my login details with him to check the inventory available in my account Suddenly I received a mail that my email id has been changed When I tried contacting him he blocked my call and when I tried calling on WhatsApp he is not answering the call I have spent more than Rs  in my gaming account Request you to please regain my account
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"

FRAUD THROUGH DebitCredit Card FraudSim Swap Fraud	

BANKAirtel Payments Bank	
     
ACCOUNT NO 

TOTAL AMOUNT		 	
 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION


"
Online Financial Fraud,UPI Related Frauds,Received Call from unknown person claimed to be related to his father and said that he had borrowed rs  from his father and want to refund first he confirmed account by sending rs  their after he has theft rs  by  transaction of rs  each call receved from mobile no 
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI Phone Pe
BANK BARODA UP GRAMIN BANK
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLDREVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION "
